ModelNickname,Estimator,Xvars,HyperParams,Scaler,Observations,Tuned,DynamicallyTested,Integration,TestSetLength,TestSetRMSE,TestSetMAPE,TestSetMAE,TestSetR2,LastTestSetPrediction,LastTestSetActual,CILevel,CIPlusMinus,InSampleRMSE,InSampleMAPE,InSampleMAE,InSampleR2,ValidationSetLength,ValidationMetric,ValidationMetricValue,univariate,models,weights,LevelTestSetRMSE,LevelTestSetMAPE,LevelTestSetMAE,LevelTestSetR2,best_model,Name
weighted,combo,,"{'how': 'weighted', 'models': 'top_5'}",,258,False,,2,12,2633.0655976717076,1.9075701591300644,2164.006365041763,-0.02211523193505105,249.91756237508542,3641.0,0.95,1136.7752903804296,714.9088087372005,1.492237432168639,473.4940614231681,0.348807992193209,,,,,"['knn', 'mlp', 'svr', 'elasticnet', 'prophet']","(0.4093373879077442, 0.2002462950838641, 0.19038458188114812, 0.16281924531744849, 0.03721248980979493)",57980.05379826638,0.09584927208713283,49859.05156537769,-1.2593247122110096,False,"Salt Lake City, UT"
avg,combo,,"{'how': 'simple', 'models': 'top_3'}",,258,False,,2,12,2627.070726178042,1.7310396556545076,2145.9167250764417,-0.01746629793852894,191.41331134330105,3641.0,0.95,1483.0033846425413,745.6783395821327,1.3522582278802098,492.9913956863119,0.2915473631568285,,,,,"['knn', 'mlp', 'svr']",,59247.266864310935,0.09777969426013346,50876.56578362444,-1.359163639412424,False,"Salt Lake City, UT"
elasticnet,elasticnet,"['AR1', 'AR2', 'AR3', 'AR6', 'AR9', 'AR12', 'AR24', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', '2008_recession', 't', 't^2', 't^3']","{'alpha': 2.0, 'l1_ratio': 0.0}",minmax,258,True,True,2,12,2603.5797634382493,1.0234313911037376,2062.3565496165716,0.000648480237694482,62.61972306907536,3641.0,0.95,1584.0548990584955,880.1351074256183,1.2788993206182833,575.991622700029,0.013024312277243766,6,rmse,1173.0875694810147,,,,61599.62104209312,0.10152483011308729,52836.041113739215,-1.5502191666992209,False,"Salt Lake City, UT"
prophet,prophet,,{'n_changepoints': 4},,258,True,True,2,12,2572.710743439826,1.1609971542799995,2031.1704490138145,0.024205372021514293,227.855768457509,3641.0,0.95,1660.7164103758787,821.2235064586168,3.2263367059608488,549.1516236718774,0.0862791952430414,6,rmse,1286.5050250991928,True,,,61450.356705748774,0.10173470214185049,52908.441805939445,-1.5378750784331916,False,"Salt Lake City, UT"
mlp,mlp,"['AR1', 'AR2', 'AR3', 'AR6', 'AR9', 'AR12', 'AR24', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', '2008_recession', 't', 't^2', 't^3']","{'activation': 'tanh', 'hidden_layer_sizes': (25,), 'solver': 'adam', 'random_state': 20}",minmax,258,True,True,2,12,2605.3231064407873,1.0031959214749204,2062.846034856438,-0.000690288630906144,7.008880323349989,3641.0,0.95,1569.1075441149674,885.7790497380413,1.0114953308586352,578.1023395394708,0.0003255930875606383,6,rmse,1139.292565871172,,,,63261.31277502313,0.10398794027308028,54139.69383717139,-1.6896627269160889,False,"Salt Lake City, UT"
svr,svr,"['AR1', 'AR2', 'AR3', 'AR6', 'AR9', 'AR12', 'AR24', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', '2008_recession', 't', 't^2', 't^3']","{'kernel': 'linear', 'C': 0.5, 'epsilon': 0.01}",minmax,258,True,True,2,12,2604.2050278606357,0.9967727193381046,2060.987473706222,0.00016842274819606207,10.73105370655311,3641.0,0.95,1600.6265080849068,885.597921290439,0.9938726420218719,577.5353786475579,0.0007343879455967706,6,rmse,1148.1972654231008,,,,63337.51343662836,0.10412484753097427,54210.04518036858,-1.696146231851058,False,"Salt Lake City, UT"
gbt,gbt,"['AR1', 'AR2', 'AR3', 'AR6', 'AR9', 'AR12', 'AR24', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', '2008_recession', 't', 't^2', 't^3']","{'max_depth': 2, 'max_features': None}",minmax,258,True,True,2,12,956.3795311086607,11.237205564432792,818.8668588208807,-0.015775211060106598,212.44998802567468,-870.0,0.95,484.14183310459816,273.8806367491346,,219.6804658359791,0.7300811623123824,6,rmse,1170.8020704650137,,,,23895.26969390864,0.06083827621086397,19333.187350600532,-0.31106143713305956,True,"Orlando, FL"
prophet,prophet,,{'n_changepoints': 3},,258,True,True,2,12,1032.5766230066133,3.343167807298236,846.85730267253,-0.18408162663625172,46.27198095994982,-870.0,0.95,948.8522482599689,498.53654190113053,,349.8699631018206,0.01953010962412205,6,rmse,453.2334243435947,True,,,29758.78614972273,0.07402559662669973,23592.45627995332,-1.0334317268787663,False,"Orlando, FL"
svr,svr,"['AR1', 'AR2', 'AR3', 'AR6', 'AR9', 'AR12', 'AR24', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', '2008_recession', 't', 't^2', 't^3']","{'kernel': 'linear', 'C': 0.5, 'epsilon': 0.5}",minmax,258,True,True,2,12,1007.5905277895029,2.545117048094862,837.988948804612,-0.12747057713657295,35.506321229196416,-870.0,0.95,1020.2897996505388,527.2423785541134,,375.56309569990503,-0.00030204926674470833,6,rmse,405.48700346846374,,,,30412.648934998542,0.07589000240638204,24177.6333071874,-1.1237709101657885,False,"Orlando, FL"
knn,knn,"['AR1', 'AR2', 'AR3', 'AR6', 'AR9', 'AR12', 'AR24', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', '2008_recession', 't', 't^2', 't^3']","{'n_neighbors': 4, 'weights': 'uniform'}",minmax,258,True,True,2,12,1089.12651354193,2.205249735830708,870.125,-0.3173274031135196,44.75,-870.0,0.95,844.2571931275481,466.80949574655074,,343.5,0.21586669392549052,6,rmse,384.4919131139171,,,,30962.137986714246,0.07651923606303256,24407.75,-1.2012078552381293,False,"Orlando, FL"
elasticnet,elasticnet,"['AR1', 'AR2', 'AR3', 'AR6', 'AR9', 'AR12', 'AR24', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', '2008_recession', 't', 't^2', 't^3']","{'alpha': 2.0, 'l1_ratio': 0.0}",minmax,258,True,True,2,12,1013.0957404645796,1.5313412429557003,839.2379116430874,-0.1398246470939879,13.25711148993087,-870.0,0.95,968.2224101171807,524.5564712045704,,375.92974047225465,0.009863579747236506,6,rmse,431.4973362219543,,,,31089.25158986036,0.07752212861525426,24699.74919336636,-1.219318866942669,False,"Orlando, FL"
avg,combo,,"{'how': 'simple', 'models': 'top_3'}",,258,False,,2,12,1027.7770508576407,9.889942196434394,846.6887441604221,-0.17309962849359484,-42.99441698307203,-870.0,0.95,949.461361669152,439.31884287134676,,318.65260536264395,0.3055032793287107,,,,,"['mlp', 'knn', 'svr']",,31425.57969376814,0.07778925642320407,24807.070079147128,-1.2675964358849887,False,"Orlando, FL"
